"X1";"name";"recipe"
131;"Jajecznica z szynką i szczypiorkiem";"1. Na patelni rozpuść olej.
2. Wbij jajka i delikatnie wymieszaj.
3. Dodaj sól i pieprz.
4. Gdy jaja zaczną się ścinać, dodaj pokrojoną w kostkę szynkę oraz posiekany szczypiorek i smaż jeszcze przez chwilę.
5. Przełóż jajecznicę na talerz, posyp słonecznikiem."
132;"Herbata z imbirem";"1. Imbir, herbatę i skórkę z cytryny przełóż do specjalnego pojemnika do zaparzania. 
2. Herbatę zalej wodą o temperaturze 90°C. 
3. Czas parzenia 1-3 minut."
133;"Wegańskie lody";"1. Dobrze zmrożonego banana zblenduj z pozostałymi składnikami i przełóż do pucharka."
134;"Indyk w sosie grzybowym";"1. Pokrój mięso w kostkę i wymieszaj z solą, pieprzem, papryką słodką, curry i tymiankiem.
2. Pokrój paprykę w kostkę, posiekaj cebulę i czosnek.
3. Rozgrzej tłuszcz na patelni i podsmaż pokrojone warzywa oraz namoczone wcześniej grzyby, po kilku minutach dodaj mięso.
4. Duś całość ok. 15 minut.
5. Rozmieszaj mąkę z niewielką ilością wody i z mleczkiem kokosowym, wlej zawiesinę pod koniec gotowania.
6. Dopraw do smaku solą, pieprzem i lubczykiem. Dodaj posiekaną natkę."
135;"Kasza jaglana";"1. Kaszę ugotuj według przepisu na opakowaniu."
136;"Zupa buraczkowa z anyżem";"1. Część buraków pokrój w kostkę, a część zetrzyj na tarce o dużych oczkach. Włóż do garnka, dodaj pokrojone ziemniaki, marchew i pietruszkę. 
2. Wlej wodę do garnka - tyle by przykryć warzywa. 
3. Gotuj na małym ogniu około 25 minut. 
4. W tym czasie podsmaż na patelni na maśle klarowanym posiekaną cebulę, czosnek oraz por.
5. Do garnka z warzywami wrzuć przyprawy.
6. Następnie dodaj warzywa z patelni, gotuj 15 minut.
7. Zdejmij zupę z ognia, dodaj sok z cytryny, ocet jabłkowy i wymieszaj."
137;"Owsianka z czekoladowo-śliwkowym musem";"1. Śliwki zalej wrzątkiem i odstaw na ok. 10 minut. Odlej wodę.
2. Czekoladę podgrzej i rozpuść.
3. Zblenduj miąższ awokado ze śliwkami i czekoladą.
4. Nakładaj do pucharka na zmianę wcześniej namoczone płatki i i mus czekoladowo-śliwkowy."
138;"Koktajl z pomarańczą";"1. Składniki zblenduj z dodatkiem mleka roślinnego."
139;"Kanapki z twarogiem";"1. Ser rozgnieć widelcem i wymieszaj z jogurtem oraz posiekanym szczypiorkiem. Dopraw solą i pieprzem.
2. Nałóż twaróg na pieczywo."
140;"Placuszki z masłem migdałowym";"1. Jaja i białko zblenduj z dodatkiem mleka, mąki kokosowej, cynamonu oraz startej marchewki.
2. Rozgrzej olej na patelni, formuj małe placuszki i smaż z obu stron.
3. Gotowe placuszki posmaruj masłem migdałowym."
141;"Smoothie gruszka-kiwi";"1. Owoce obierz i pokrój na kawałki.
2. Zblenduj składniki z dodatkiem soku jabłkowego."
142;"Bitki ze schabu";"1. Mięso pokrój w plastry i lekko rozbij tłuczkiem, posyp przyprawami.
2. Rozgrzej olej na patelni i smaż bitki po kilka minut z obu stron. 
3. Podaj bitki z kaszą i brokułami."
143;"Kasza jęczmienna";"1. Kaszę ugotuj według przepisu na opakowaniu."
144;"Brokuły";"1. Brokuły ugotuj do miękkości, oprósz solą."
145;"Krem czekoladowy";"1. Daktyle ugotuj w mleku. 
2. Dodaj pozostałe składniki i zblenduj na gładki krem."
146;"Zupa marchewkowa z masłem migdałowym";"1. Warzywa obierz i pokrój na kawałki, włóż do garnka, zalej wodą, i dodaj sól.
2. Na patelni rozgrzej olej i podsmaż posiekaną cebulę, dodaj starty imbir.
3. Kiedy warzywa były prawie miękkie, dodaj  resztę przypraw oraz cebuę z imbirem. 
4. Zblenduj na jednolitą konsystencję. 
5. Na talerzu udekoruj masłem migdałowym."
147;"Jabłkowo-czekoladowa jaglanka";"1. Kaszę ugotuj na mleku kokosowym z dodatkiem startego jabłka.
2. Jeszcze ciepłą wymieszaj z czekoladą, cynamonem i imbirem."
148;"Koktajl truskawkowy";"1. Zblenduj składniki z dodatkiem mleka kokosowego."
149;"Gulasz z kurczakiem i warzywami";"1. Mięso pokrój w kostkę, posyp solą, pieprzem i papryką ostrą i wrzuć na rozgrzany w garnku olej.
2. Pokrój w kostkę paprykę i cebulę, a pieczarki w plasterki i dodaj do mięsa.
3. Duś wszystko pod przykryciem ok. 15-20 minut, następnie dodaj koncentrat pomidorowy i zioła. Wymieszaj i duś razem jeszcze przez chwilę. Ewentualnie dopraw solą i pieprzem."
150;"Kulki chałwowe";"1. Wymieszaj tahini z miodem, dodaj popping z amarantusa oraz wiórki i ponownie dokładnie wymieszaj.
2. Uformuj z masy kulki wilgotnymi dłońmi lub przełóż deser do miseczki i zjedz łyżeczką."
151;"Owsianka z owocami egzotycznymi";"1. Płatki zalej jogurtem.
2. Mango i pomarańcz pokrój w kostkę, a orzechy posiekaj.
3. Owsiankę ozdób owocami i orzechami."
152;"Koktajl z mango";"1. Zblenduj wszystkie składniki."
153;"Kurczak z warzywami na parze";"1. Mięso przypraw, kalafior i brokuły podziel na różyczki, a marchew pokrój w plastry.
2. Mięso z warzywami ugotuj na parze."
154;"Ryż";"1. Ryż ugotuj według przepisu na opakowaniu."
155;"Burger";"1. Mięso zmiel w maszynce.
2. Do mięsa dodaj przyprawy, wymieszaj i uformuj burgera. 
3. Smaż na rozgrzanym oleju z dwóch stron.
4. Boczek usmaż lub zgrilluj. 
5. Pomidora i awokado pokrój w plastry. 
6. Awokado i warzywa ułóż na burgerze."
156;"Omlet z warzywami";"1. Szynkę pokrój w kostkę i podsmaż na patelni.
2. Jaja wymieszaj z szynką, pokrojoną w kostkę papryką, posiekanym szczypiorkiem oraz solą i pieprzem.
3. Wlej masę na patelnię i smaż z dwóch stron pod przykryciem."
157;"Krem orzechowy z komosą ryżową";"1. Orzechy laskowe namocz przez około godzinę.
2. Komosę ugotuj według przepisu na opakowaniu. 
3. Zblenduj wszystkie składniki razem"
158;"Zapiekanka z warzywami";"1. Batata obierz i pokrój razem z cukinią, pomidorami i mozzarellą w plastry.
2. Warzywa ułóż naprzemiennie w naczyniu żaroodpornym, gdzieniegdzie dodając ser. 
3. Posyp przyprawami, skrop płynnym masłem klarowanym i piecz ok 40 minut w 180°C."
159;"Jaglanka z karmelizowaną gruszką";"1. Kaszę ugotuj na mleku, w razie potrzeby dodaj wodę.
2. Gruszkę pokrój w ćwiartki i wydrąż.
3. Podsmaż gruszkę na maśle klarowanym z cukrem trzcinowymi, cynamonem i wanilią."
160;"Szybka sałatka ze szpinakiem i granatem";"1. Buraka pokrój w cienkie plastry.
2. Nasiona chia zalej odrobiną wody i mocz przez 10-15 minut.
3. Szpinak, buraka, nasiona chia i pestki granatu wymieszaj, skrop octem balsamicznym i oliwą."
161;"Kurczak z porem";"1. Pora pokrój w cienkie plastry.
2. Kurczaka przypraw, włóż do naczynia żaroodpornego i posyp porem.
3. Piecz w piekarniku pod przykryciem w 190°C przez około 30 minut."
162;"Chleb żytni";NA
163;"Pasta z awokado i ogórka";"1. Wszystkie składniki zblenduj.
2. Smaruj na chleb."
164;"Jajka po wiedeńsku";"1. Zagotuj wodę w rondelku.
2. W małym naczyniu żaroodpornym lub szklance rozbij jaja i włóż naczynie do rondelka z wrzącą wodą.
3. Wyjmij naczynie z wrzątku w momencie ścięcia się białka i zamieszaj z masłem.
4. Oprósz jaja pieprzem i solą, posyp posiekanym szczypiorkiem."
165;"Sałatka ze świeżych warzyw";"1. Warzywa umyj.
2. Liście sałaty porwij na mniejsze części. szczypiorek posiekaj.
3. Pomidorki przekrój na pół, a ogórka w drobną kostkę.
4. Wymieszaj wszystkie składniki z przyprawami, skrop oliwą."
166;"Miętowy dorsz";"1. Dorsza przypraw solą i pieprzem, a następnie zgrilluj.
2. Miętę, natkę pietruszki i czosnek posiekaj.
3. W moździerzu utrzyj zioła, czosnek, sól i pieprz z oliwą.
4. Grillowanego dorsza udekoruj miętowym pesto."
167;"Surówka z marchwi i selera";"1. Marchew i seler zetrzyj na tarce, przypraw solą, pieprzem i odstaw na kilka minut.
2. Wymieszaj z oliwą i sokiem z cytryny."
168;"Sałatka grecka";"1. Cebulę i oliwki pokrój w plastry, a ogórka, pomidora i fetę w drobną kostkę.
2. Wymieszaj wszystkie składniki, oprósz ziołami skrop oliwą."
169;"Pasta marchewkowa z tahini";"1. Marchew obierz i gotuj na parze do miękkości.
2. Zblenduj marchew z tahini, czosnkiem i przyprawami.
3. Smaruj na chleb."
170;"Kotlety z kaszy i ziemniaków";"1. Ziemniaki ugotuj w mundurkach. Następnie obierz.
2. Ugotuj kaszę jaglaną.
3. Na oleju podsmaż posiekaną cebulę.
4. Połącz ze sobą gorące ziemniaki i gorącą kaszę. Dodaj podsmażoną cebulę, posiekaną natkę, sól i pieprz.
5. Dokładnie wymieszaj ciasto i formuj kotlety.
6. Piecz w piekarniku w temperaturze 180°C  przez około 30 minut."
171;"Podsmażane pieczarki";"1. Pieczarki pokrój w ćwiartki i wrzuć na rozgrzane masło.
2. Smaż kilka minut, dopraw solą i pieprzem."
172;"Babeczki jaglane z malinami";"1. Kaszę jaglaną ugotuj według przepisu na opakowaniu, dodaj olej kokosowy oraz namoczone wcześniej we wrzątku daktyle. 
2. Zblenduj na gładką masę. Dodaj starte na tarce jabłko, maliny, sok pomarańczowy i siemię lniane. Odstaw pod przykryciem na ciepły palnik , aż masa wchłonie płyn. 
3. Rozgrzej piekarnik do 180°C. Przełóż ciasto do foremek i piecz przez ok. 30 min. Po upieczeniu zostaw na kilkanaście minut w piekarniku."
173;"Grillowany tuńczyk w marynacie";"1. Przygotuj marynatę: wymieszaj musztardę, sok z cytryny, estragon, sól i pieprz.
2. Nasmaruj marynatą tuńczyka i grilluj z dwóch stron."
174;"Sałatka z rukolą";"1. Wymieszaj musztardę, syrop, sok z cytryny, pieprz.
2. Włóż rukolę do miski, wymieszaj z sosem. Na wierzchu ułóż połówki pomidorków."
175;"""Owsianka"" z amarantusa z owocami";"1. Amarantus ugotuj na mleku kokosowym, możesz w trakcie gotowania dodać trochę wody. 
2. Dodaj połowę cukru i wiórki kokosowe oraz nasiona chia. Wymieszaj i przełóż do miseczki.
3. Jagody zblenduj z resztą cukru kokosowego. Polej musem amarantus.
4. Udekoruj plastrami banana."
176;"Koktajl jabłko-kiwi";"1. Jabłko obierz i pokrój.
2. Zblenduj składniki z dodatkiem mleka kokosowego."
177;"Curry z krewetkami i papryką";"1. Rozgrzej tłuszcz na patelni, wrzuć posiekaną cebulę i czosnek oraz pokrojoną w kostkę paprykę i podsmaż.
2. Wrzuć obrane krewetki i smaż przez 3 minuty. 
3. Dodaj pomidory, mleczko i przyprawy, całość duś przez 15 minut.
4. Gotowe danie posyp posiekaną pietruszką."
178;"Ryż jaśminowy";"1. Ryż ugotuj według przepisu na opakowaniu."
179;"Sałatka z kurczakiem w kokosie";"1. Mięso pokrój w kostkę, przypraw, obtocz w wiórkach i usmaż na rozgrzanym oleju.
2. Wymieszaj mięso z rukolą i suszonymi pomidorami."
180;"Kawowo-kakaowy koktajl z bananem";"1. Zblenduj składniki z dodatkiem mleka kokosowego."
181;"Amarantusowa polenta z grzybami";"1. Ugotuj grzyby w świeżej wodzie z dodatkiem soli, pieprzu i lubczyku. 
2. Pokrój cebulę w kostkę, a w por w plasterki i podsmaż na rozgrzanym oleju.
3. Po chwili dodaj do cebuli i pora amarantus, grzyby z wywarem oraz startą na dużych oczkach marchewkę i pietruszkę.
4. Dopraw solą, pieprzem i tymiankiem, doprowadź do wrzenia.
5. W trakcie gotowania kontroluj ilość wody. Gotuj, aż amarantus będzie miękkie i wchłonie większość wody."
182;"''Herbatka"" na odporność";"1. Imbir obierz i drobno posiekaj. Włóż do kubka, zalej wrzątkiem i parz pod przykryciem przez ok. 10–15 minut. 
2. W tym czasie podgrzej maliny, żeby się rozmroziły.
3. Do ciepłego imbirowego wywaru (max. 60°C) dodaj cytrynę, maliny i miód. Wymieszaj i pij od razu."
183;"Kanapki z pastą";"1. Awokado zblenduj z papryką, orzechami, sokiem z cytryny, solą i pieprzem.
2. Posmaruj pastą pieczywo."
184;"Jaglanka z gruszką";"1. Przed ugotowaniem przepłucz kaszę 1-2 razy pod bieżącą zimną wodą.
2. Kaszę ugotuj na mleku roślinnym według przepisu na opakowaniu. 
3. Dodaj pokrojoną w kostkę gruszkę i pozostałe składniki."
185;"Cynamonowe trufle";"1. Daktyle zalej wrzątkiem i odstaw na 15 minut. 
2. Zblenduj z płatkami migdałowymi i cynamonem. 
3. Uformuj kulki i obtocz w wiórkach kokosowych. 
4. Wstaw do lodówki na minimum 30 minut."
186;"Kulki mięsne w sosie pomidorowym z pieczarkami";"1. Mięso zmiel i wymieszaj z jajkiem, solą i pieprzem. 
2. Uformuj kulki. 
3. Na patelni rozgrzej tłuszcz i podsmaż mięso. 
4. Pomidory sparz, usuń skórkę i pokrój w kostkę, pieczarki pokrój w plastry. 
5. Do kulek mięsnych dodaj pomidory, pieczarki, zioła i duś na małym ogniu przez około 15-20 minut."
187;"Ryż";"1. Przed ugotowaniem przepłucz ryż 1-2 razy pod bieżącą zimną wodą.
2. Ryż ugotuj według przepisu na opakowaniu.
3. Wymieszaj z posiekaną pietruszką."
188;"Marchewkowo-owsiana przekąska";"1. Płatki owsiane wymieszaj z mlekiem roślinnym, wodą i odstaw na 15-20 minut.
2. Marchew i imbir obierz i zetrzyj na tarce o drobnych oczkach. 
3. Wymieszaj wszystkie składniki."
189;"Herbata zielona";NA
190;"Sałatka z brokułami i serem feta";"1. Ser pokrój w kostkę, brokuły podziel na różyczki, pomidorki przekrój na połówki, a suszone pomidory pokrój w kostkę. 
2. Brokuły ugotuj al dente. 
3. Czosnek przeciśnij przez praskę i wymieszaj z jogurtem i przyprawami. 
4. Wymieszaj wszystkie składniki."
191;"Omlet z brokułami";"1. Brokuły podziel na drobne różyczki, czosnek drobno posiekaj. 
2. Na patelni rozgrzej tłuszcz i podsmaż czosnek. 
3. Dodaj brokuły i smaż przez 2-3 minuty. 
4. Jaja wymieszaj z mąką, mlekiem roślinnym i przyprawami. 
5. Masę jajeczną wlej na patelnię i smaż omlet z dwóch stron."
192;"Napój bananowo-gruszkowy";"1. Obierz owoce. 
2. Zblenduj wszystkie składniki."
193;"Roladki z kurczaka z serem feta i suszonymi pomidorami";"1. Mięso lekko rozbij i oprósz pieprzem. 
2. Na środku ułóż ser, suszone pomidory i zwiń roladkę. 
3. Na patelni rozgrzej tłuszcz i smaż roladkę z dwóch stron."
194;"Kasza jaglana";"1. Przed ugotowaniem przepłucz kaszę 1-2 razy pod bieżącą zimną wodą.
2. Kaszę ugotuj według przepisu na opakowaniu. 
3. Wymieszaj z posiekaną pietruszką."
195;"Rukola z pomidorkami";"1. Pomidorki przekrój na połówki. 
2. Ułóż na rukoli, skrop oliwą, octem balsamicznym i oprósz przyprawami."
196;"Zupa pieczarkowo-pomidorowa";"1. Cebulę drobno posiekaj. 
2. W garnku rozgrzej tłuszcz i zeszklij cebulę. 
3. Pieczarki obierz i pokrój w plastry, pozostałe warzywa obierz i pokrój w kostkę. 
4. Dodaj wszystkie składniki do garnka i gotuj do miękkości warzyw."
197;"Kawowa owsianka z bananem";"1. Zaparz kawę. 
2. Płatki owsiane zalej kawą, mlekiem roślinnym i ugotuj.
3. Dodaj pokrojonego w plasterki banana i resztę składników."
198;"Koktajl gruszka-kiwi";"1. Obierz owoce.
2. Wszystkie składniki zblenduj z dodatkiem wody."
199;"Łosoś na parze z brokułami";"1. Rybę oprósz solą, pieprzem, tymiankiem i skrop sokiem z cytryny. 
2. Ugotuj na parze z brokułami.
3. Brokuły skrop oliwą po ugotowaniu."
200;"Komosa ryżowa";"1. Przed ugotowaniem przepłucz komosę 1-2 razy pod bieżącą zimną wodą.
2. Komosę ugotuj według przepisu na opakowaniu."
201;"Orzechowy jogurt";"1. Jogurt wymieszaj z kakao i pokruszonymi orzechami."
202;"Herbata ziołowa";NA
203;"Sałatka z pieczarkami i serem feta";"1. Przed ugotowaniem przepłucz komosę 1-2 razy pod bieżącą zimną wodą.
2. Komosę ugotuj według przepisu na opakowaniu. 
3. Cebulę drobno posiekaj, pieczarki pokrój w plastry, a marchew pokrój w kostkę.  
4. Na patelni rozgrzej tłuszcz i podsmaż pieczarki z cebulą. 
5. Dodaj marchew i duś przez kilka minut. 
6. Komosę wymieszaj z warzywami, posyp pokruszonym serem i posiekaną pietruszką.
7. Dopraw pieprzem do smaku."
204;"Frittata z warzywami";"1. Cukinię obierz, pokrój w drobną kostkę i posól.
2. Poczekaj aż cukinia puści sok.
3. Rozbij jaja w misce i połącz z cukinią, startą mozarellą, pokrojonym w kostkę pomidorem i oliwkami, przypraw pieprzem.
4. Usmaż na rozgrzanym oleju z dwóch stron."
205;"Banan z masłem migdałowym";"1. Przełóż masło migdałowe do miseczki, ułóż plasterki banana i posyp wiórkami kokosowymi."
206;"Zupa krem z batatów z nutą kokosa i chilli";"1. Bataty i marchew umyj, obierz i pokrój na kawałki.
2. W garnku rozgrzej masło i podsmaż posiekaną papryczkę chili.
3. Dodaj bataty, marchew i mleczko kokosowe.
4. Wlej wodę i gotuj aż warzywa będą miękkie.
5. Składniki przypraw kurkumą, solą i pieprzem.
6. Całość zblenduj na krem i posyp płatkami kokosowymi."
207;"Sałatka brokułowa";"1. Ryż ugotuj według przepisu na opakowaniu. 
2. Brokuły ugotuj na chrupko.
3. Wymieszaj wszystkie składniki."
208;"Jajecznica cebulowo-pieczarkowa";"1. Na rozgrzanym maśle podsmaż boczek oraz pokrojone w plastry pieczarki i posiekaną cebulkę.
2. Wbij jaja na patelnię, dodaj sól i pieprz, wymieszaj. 
3. Smaż do momentu ścięcia białka i wyłóż na talerz."
209;"Kasza z pieczarkami";"1. Kaszę ugotuj według przepisu na opakowaniu.
2. Pokrój pieczarki w plastry, paprykę i cebulę w kostkę.
3. Olej rozpuść na patelni, dodaj warzywa i smaż kilka minut.
4. Dodaj mleczko kokosowe oraz przyprawy i wymieszaj.
5. Połącz warzywa z kaszą."
210;"Woda z cytryną i imbirem";"1. Skórkę cytryny dobrze wyszoruj lub cytrynę obierz ze skórki.
2. Pokrój cytrynę i imbir w plastry.
3. Wlej wodę mineralną i dodaj plastry cytryny, imbir.
4. Możesz dodać kostki lodu."
211;"Krem z kiszonego ogórka";"1. Por pokrój w plasterki i podsmaż chwilę na rozgrzanym maśle. 
2. Ziemniaki, ogórki, marchew pokrój w kostkę, przełóż do garnka i zalej wodą.
3. Dodaj przyprawy, por i gotuj do miękkości ziemniaków, a następnie zblenduj na krem."
212;"Bananowa quinoa";"1. Komosę ugotuj na mleku ryżowym, w razie potrzeby dolej trochę wody.
2. Dodaj banana pokrojonego w plastry i posyp cynamonem oraz posiekanymi orzechami."
213;"Koktajl zielony";"1. Zblenduj składniki z dodatkiem mleka."
214;"Wołowina w szynce z jarmużem";"1. Jarmuż z czosnkiem podsmaż na oleju i zblenduj, dodaj sól.
2. Wołowinę oprósz pieprzem, owiń szynką i usmaż na rozgrzanej patelni, po kilka minut z każdej strony.
3. Podaj mięso z puree z jarmużu i z surówką."
215;"Surówka z marchewki";"1. Zetrzyj marchewkę na tarce, wymieszaj z sokiem z cytryny i oliwą."
216;"Sałatka z grillowanym kurczakiem";"1, Kurczaka przypraw i grilluj, a następnie pokrój w kostkę.
2. Pomidorki przekrój na pół, a ogórka pokrój w kostkę. 
3. Na talerzu układaj sałatę, pomidorki, ogórka i kurczaka.
4. Skrop sokiem z cytryny."
217;"Jaglanka z bakaliami";"1 Przed ugotowaniem przepłucz kaszę 1-2 razy pod bieżącą zimną wodą.
2. Kaszę ugotuj na mleku migdałowym. W razie potrzeby, dolej trochę wody.
3. Kilka minut przed końcem gotowania dodaj pokrojone daktyle i śliwki.
4. Wymieszaj z ziarnami kakaowca, cynamonem i zmiażdżonymi goździkami.
5. Przełóż do miseczki, udekoruj plastrami banana, opcjonalnie możesz całość posypać Lio Shake o smaku żurawiny."
218;"Koktajl bananowo-malinowy";"1. Zblenduj wszystkie składniki razem."
219;"Indyk z musem brokułowym";"1. Mięso pokrój w plastry,  przypraw solą, pieprzem i majerankiem, podsmaż na oleju kokosowym.
2. Brokuł podziel na różyczki ugotuj w osolonej wodzie, następnie odcedź.
3. Brokuł zblenduj z czosnkiem, słonecznikiem, solą, kurkumą i chilli.
4. Mus brokułowy wyłóż na talerz, na nim ułóż indyka, całość posyp posiekaną pietruszką."
220;"Batony owsiane";"1. Połącz wszystkie składniki, możesz to zrobić przy pomocy blendera.
2. Uformuj batony i włóż do zamrażalnika na 15 minut. Następnie przechowuj w lodówce."
221;"Indyk z nerkowcami na rukoli";"1. Mięso przypraw i usmaż na rozgrzanym oleju. Następnie pokrój w plastry.
2. Wyłóż rukolę i orzechy na talerz, skrop octem balsamicznym.
3. Na wierchu połóż plastry indyka."
222;"Kanapki z jajem";"1. Jaja ugotuj na twardo.
2. Chleb posmaruj masłem, nałóż warzywa, plasterki jaja i posyp szczypiorkiem."
223;"Koktajl szpinak-banan";"1. Zblenduj wszystkie składniki poza nasionami chia.
2. Dodaj nasiona chia i wymieszaj."
224;"Kurczak w ziołach";"1. Mięso pokrój w kostkę, wymieszaj z przyprawami i przeciśniętym przez praskę czosnkiem.
2. Podsmaż mięso na rozgrzanym oleju."
225;"Ryż";"1. Przed ugotowaniem przepłucz ryż 1-2 razy pod bieżącą zimną wodą.
2. Ryż ugotuj według przepisu na opakowaniu."
226;"Sałatka ze świeżych warzyw";"1. Warzywa umyj.
2. Liście sałaty porwij na mniejsze części. szczypiorek posiekaj.
3. Pomidorki przekrój na pół, a ogórka w drobną kostkę.
4. Wymieszaj wszystkie składniki z przyprawami."
227;"Orzechy nerkowca";NA
228;"Sałatka z grillowanej marchwi i batata";"1. Marchew pokrój wzdłuż na ćwiartki, bataty w półplasterki, imbir zetrzyj na tarce. 
2. W misce wymieszaj mleczko kokosowe z miodem i imbirem. 
3. Marchew i bataty wymieszaj z marynatą. 
4. Warzywa grilluj na patelni aż będą miękkie. 
5. Pozostałą marynatę połącz z sokiem z limonki, dopraw solą. 
6. Łodyżki selera drobno pokrój.
7. Pietruszkę i bazylię posiekaj.
8.  Wymieszaj zgrillowane warzywa z pietruszką i bazylią, polej sosem i wymieszaj."
229;"Owsianka pomarańczowo-czekoladowa";"1. Płatki owsiane ugotuj na mleku kokosowym, możesz w trakcie gotowanie dolać trochę wody.
2. Z części pomarańczy otrzyj skórkę i wyciśnij sok, dodaj do owsianki.
3. Dodaj również masło migdałowe i posiekaną lub startą czekoladę.
4. Udekoruj cząstkami pozostałej pomarańczy."
230;"Bezglutenowe spaghetti z warzywami i zielonym pesto";"1. Przygotuj pesto - zeszklij czosnek na połowie oleju kokosowego. Następnie zblenduj go ze szpinakiem pestkami dyni, oliwą, solą, pieprzem i chlorellą. Możesz dodać odrobinę wody.
2. Pokrój cukinię, paprykę i pomidorki, podduś na pozostałym oleju. Dopraw solą, pieprzem i oregano, dodaj posiekaną pietruszkę.
3. Przygotuj makaron według przepisu na opakowaniu. Następnie wymieszaj go przygotowanym pesto i duszonymi warzywami."
231;"Sałatka z żurawiną i mozzarellą";"1. Żurawinę zalej wrzątkiem i odstaw na 10 minut, następnie odlej wodę.
2. Ser pokrój w kostkę.
3. Przygotuj dressing: wymieszaj ocet balsamiczny z sokiem z cytryny, miodem i musztardą. 
4. Wymieszaj rukolę z żurawiną i serem, całość polej dressingiem."
232;"Kaczka w pomidorach";"1. Kaczkę przypraw solą, pieprzem, majerankiem i podsmaż z każdej strony na rozgrzanej patelni bez dodatku tłuszczu, następnie podlej gorącą wodą.
2. Dodaj cebulę pokrojoną w piórka i wino. Duś, aż wino odparuje.
3. Wlej pomidory i duś jeszcze ok. 15 minut pod przykryciem, aż mięso będzie miękkie."
233;"Jajecznica z cukinią i serem feta";"1. Cukinię zetrzyj na tarce, pomidora pokrój w kostkę.
2. Warzywa podsmaż na patelni.
3. Dodaj jajka, ser feta, przyprawy i smaż do momentu ścięcia jaj."
234;"Koktajl truskawkowo-kokosowy";"1. Zblenduj wszystkie składniki."
235;"Ryba w panierce z sezamu";"1. Do oliwy dodaj przyprawy i wymieszaj.
2. Rybę zanurz w oliwie, a następnie obtocz w sezamie.
3. Piecz w temperaturze 180°C przez 20 minut."
236;"Komosa ryżowa";"1. Komosę ugotuj według przepisu na opakowaniu."
237;"Puree z brokułów";"1. Cebulę pokrój w kostkę, brokuły podziel na różyczki.
2. W garnku rozgrzej tłuszcz i zeszklij cebulę.
3. Dodaj brokuły i wodę.
4. Gdy brokuły będą półtwarde, dodaj przyprawy i zmiksuj wszystko."
238;"Pasta z suszonych pomidorów";"1. Pomidory i czosnek bardzo drobno posiekaj.
2. Wymieszaj wszystkie składniki.
3. Posmaruj pieczywo pastą."
239;"Frytki z batatów";"1. Bataty pokrój w paski.
2. Skrop oliwą, oprósz przyprawami.
3. Piecz w temperaturze 220°C przez około 20 minut."
240;"Domowy ketchup";"1. Pomidory sparz i usuń skórkę.
2. Zmiksuj wszystkie składniki."
241;"Omlet z boczkiem i pieczarkami";"1. Pokrój boczek i wrzuć na rozgrzaną patelnię, by wytopił się nieco tłuszcz. 
2. Pokrój pieczarki i cebulę i dodaj na patelnię, dopraw solą i chilli. Podsmaż przez 5 minut, następnie zdejmij z patelni. 
2. Do miski wbij jajka, dodaj mąkę, sól, pieprz i roztrzep całość.
3. Rozpuść olej kokosowy na czystej patelni, wlej masę jajeczną i przykryj pokrywką.
4. Gdy masa się zetnie, omlet przerzuć na drugą stronę.
5. Na omlet wyłóż przygotowany wcześniej boczek z pieczarkami i posyp posiekanym szczypiorkiem, złóż na pół i wyłóż na talerz."
242;"Koktajl z awokado i pomarańczy";"1. Daktyle namocz przez 10 minut we wrzątku.
2. Zblenduj wszystkie składniki razem. Dolej wodę, aby uzyskać pożądaną konsystencję."
243;"Różowy kurczak";"1. Posiekaj cebulę oraz czosnek i podsmaż na rozgrzanym na patelni oleju.
2. Dodaj startego na grubych oczkach buraka i podduś przez chwilę.
3. Mięso podziel na mniejsze płaty, przypraw solą, pieprzem i majerankiem. 
4. Dodaj mięso na patelnię, podsmaż z obu stron, a następnie podlej wodą i duś przez około 15-20 minut.
5. Mięso zdejmij z patelni. Buraki dopraw solą, pieprzem, tymiankiem i octem balsamicznym.
6. Wyłóż buraki na talerz, na nich ułóż mięso."
244;"Ryż z marchewką";"1. Ryż ugotuj według przepisu na opakowaniu.
2. Marchewkę pokrój w kostkę i ugotuj w osobnym garnku w osolonej wodzie.
3. Wymieszaj ryż z marchewką i posiekaną pietruszką."
245;"Śliwki w czekoladzie";"1. Śliwki zalej wrzątkiem i odstaw na 10 minut, następnie osusz ręcznikiem papierowym.
2. Czekoladę podgrzej i rozpuść.
3. Oblej śliwki czekoladą. Opcjonalnie możesz je posypać Malina Lio Shake.
4. Odstaw w chłodne miejsce do zastygnięcia"
246;"Jaglanka z warzywami";"1. Przed ugotowaniem przepłucz kaszę 1-2 razy pod bieżącą zimną wodą.
2. Kaszę ugotuj według przepisu na opakowaniu. 
3. Pokrój cukinię, paprykę i cebulę, podsmaż na oleju.
4. Dodaj przeciśnięty przez praskę czosnek i pokrojone pomidorki, dopraw solą, pieprzem, ziołami i kurkumą. Duś jeszcze przez chwilę.
4. Wymieszaj warzywa z kaszą."
247;"Poranna szarlotka";"1. Jabłko i banana obierz i pokrój.
2. Zblenduj namoczone płatki z pozostałymi składnikami na gładki koktajl."
248;"Domowa granola";"1. Żurawinę zalej wrzątkiem i odstaw na chwilę (najlepiej 10-20 minut).
2. Wszystkie składniki wymieszaj, wyłóż na blaszkę i piecz w piekarniku około 15 minut w 160°C."
